,club_api_id,club_name,year,league_name,total_spent,nTransfers,league_position,position_value
0,8564,AC Milan,2008,Serie A,61.480000000000004,34,2.0,18.0
1,8564,AC Milan,2009,Serie A,19.89,25,3.0,17.0
2,8564,AC Milan,2010,Serie A,42.67265901517956,43,1.0,19.0
3,8564,AC Milan,2011,Serie A,53.33730136986301,48,2.0,18.0
4,8564,AC Milan,2012,Serie A,51.30765901517957,45,3.0,17.0
5,8564,AC Milan,2013,Serie A,31.980767123287674,49,8.0,12.0
6,8564,AC Milan,2014,Serie A,19.11576712328767,61,10.0,10.0
7,8564,AC Milan,2015,Serie A,83.68097202797203,51,7.0,13.0
8,8535,ACF Fiorentina,2008,Serie A,42.93,25,5.0,15.0
9,8535,ACF Fiorentina,2009,Serie A,35.42755913978495,32,11.0,9.0
10,8535,ACF Fiorentina,2010,Serie A,20.928779569892473,27,9.0,11.0
11,8535,ACF Fiorentina,2011,Serie A,20.055762026032827,35,13.0,7.0
12,8535,ACF Fiorentina,2012,Serie A,37.252,37,4.0,16.0
13,8535,ACF Fiorentina,2013,Serie A,47.96999999999999,32,4.0,16.0
14,8535,ACF Fiorentina,2014,Serie A,9.007559139784945,38,4.0,16.0
15,8535,ACF Fiorentina,2015,Serie A,31.41,43,5.0,15.0
16,8686,AS Roma,2008,Serie A,30.4305,44,6.0,14.0
17,8686,AS Roma,2009,Serie A,3.15,34,2.0,18.0
18,8686,AS Roma,2010,Serie A,13.18675,32,6.0,14.0
19,8686,AS Roma,2011,Serie A,86.0225,35,7.0,13.0
20,8686,AS Roma,2012,Serie A,39.44,46,6.0,14.0
21,8686,AS Roma,2013,Serie A,70.165,46,2.0,18.0
22,8686,AS Roma,2014,Serie A,89.565,47,2.0,18.0
23,8686,AS Roma,2015,Serie A,54.076,60,3.0,17.0
24,9853,AS Saint-Étienne,2008,Ligue 1,8.55,18,17.0,3.0
25,9853,AS Saint-Étienne,2009,Ligue 1,17.549999999999997,13,17.0,3.0
26,9853,AS Saint-Étienne,2010,Ligue 1,3.5330000000000004,14,10.0,10.0
27,9853,AS Saint-Étienne,2011,Ligue 1,14.490000000000002,21,7.0,13.0
28,9853,AS Saint-Étienne,2012,Ligue 1,4.05,17,5.0,15.0
29,9853,AS Saint-Étienne,2013,Ligue 1,14.940000000000001,18,4.0,16.0
30,9853,AS Saint-Étienne,2014,Ligue 1,3.6,9,5.0,15.0
31,9853,AS Saint-Étienne,2015,Ligue 1,18.270000000000003,17,6.0,14.0
32,10229,AZ Alkmaar,2008,Eredivisie,3.8480000000000003,11,1.0,17.0
33,10229,AZ Alkmaar,2009,Eredivisie,5.929013157894737,11,5.0,13.0
34,10229,AZ Alkmaar,2010,Eredivisie,3.8530263157894735,20,4.0,14.0
35,10229,AZ Alkmaar,2011,Eredivisie,4.669013157894737,11,4.0,14.0
36,10229,AZ Alkmaar,2012,Eredivisie,4.984013157894736,17,10.0,8.0
37,10229,AZ Alkmaar,2013,Eredivisie,4.804013157894737,11,8.0,10.0
38,10229,AZ Alkmaar,2014,Eredivisie,1.8790131578947369,17,3.0,15.0
39,10229,AZ Alkmaar,2015,Eredivisie,4.759013157894737,19,4.0,14.0
40,8593,Ajax Amsterdam,2008,Eredivisie,30.83,16,3.0,15.0
41,8593,Ajax Amsterdam,2009,Eredivisie,11.07,11,2.0,16.0
42,8593,Ajax Amsterdam,2010,Eredivisie,4.5,16,1.0,17.0
43,8593,Ajax Amsterdam,2011,Eredivisie,12.812833333333334,14,1.0,17.0
44,8593,Ajax Amsterdam,2012,Eredivisie,5.148000000000001,17,1.0,17.0
45,8593,Ajax Amsterdam,2013,Eredivisie,6.12,10,1.0,17.0
46,8593,Ajax Amsterdam,2014,Eredivisie,11.525,16,2.0,16.0
47,8593,Ajax Amsterdam,2015,Eredivisie,11.037833333333333,13,2.0,16.0
48,9825,Arsenal FC,2008,Premier League,36.135,16,4.0,16.0
49,9825,Arsenal FC,2009,Premier League,10.8,17,3.0,17.0
50,9825,Arsenal FC,2010,Premier League,21.2667,21,4.0,16.0
51,9825,Arsenal FC,2011,Premier League,58.925000000000004,37,3.0,17.0
52,9825,Arsenal FC,2012,Premier League,50.4,18,4.0,16.0
53,9825,Arsenal FC,2013,Premier League,44.324999999999996,24,4.0,16.0
54,9825,Arsenal FC,2014,Premier League,107.09,19,3.0,17.0
55,9825,Arsenal FC,2015,Premier League,23.85,14,2.0,18.0
56,8315,Athletic Bilbao,2008,Primera Division,2.12472,10,13.0,7.0
57,8315,Athletic Bilbao,2009,Primera Division,2.115,9,8.0,12.0
58,8315,Athletic Bilbao,2010,Primera Division,2.448,10,6.0,14.0
59,8315,Athletic Bilbao,2011,Primera Division,6.75,6,10.0,10.0
60,8315,Athletic Bilbao,2012,Primera Division,2.25,10,12.0,8.0
61,8315,Athletic Bilbao,2013,Primera Division,13.86,13,4.0,16.0
62,8315,Athletic Bilbao,2014,Primera Division,0.9,10,7.0,13.0
63,8315,Athletic Bilbao,2015,Primera Division,7.2,13,5.0,15.0
64,9906,Atlético Madrid,2008,Primera Division,23.85,13,4.0,16.0
65,9906,Atlético Madrid,2009,Primera Division,15.53,15,9.0,11.0
66,9906,Atlético Madrid,2010,Primera Division,30.65,10,5.0,15.0
67,9906,Atlético Madrid,2011,Primera Division,76.68,21,5.0,15.0
68,9906,Atlético Madrid,2012,Primera Division,4.05,14,3.0,17.0
69,9906,Atlético Madrid,2013,Primera Division,32.4,20,1.0,19.0
70,9906,Atlético Madrid,2014,Primera Division,107.05499999999999,25,3.0,17.0
71,9906,Atlético Madrid,2015,Primera Division,129.25,21,3.0,17.0
72,8178,Bayer 04 Leverkusen,2008,1 Bundesliga,9.225,16,9.0,9.0
73,8178,Bayer 04 Leverkusen,2009,1 Bundesliga,6.951752212389381,14,4.0,14.0
74,8178,Bayer 04 Leverkusen,2010,1 Bundesliga,5.13,14,2.0,16.0
75,8178,Bayer 04 Leverkusen,2011,1 Bundesliga,20.528999999999996,16,5.0,13.0
76,8178,Bayer 04 Leverkusen,2012,1 Bundesliga,18.81,19,3.0,15.0
77,8178,Bayer 04 Leverkusen,2013,1 Bundesliga,20.227999999999998,18,4.0,14.0
78,8178,Bayer 04 Leverkusen,2014,1 Bundesliga,35.46350442477876,20,4.0,14.0
79,8178,Bayer 04 Leverkusen,2015,1 Bundesliga,52.2,23,3.0,15.0
80,9823,Bayern Munich,2008,1 Bundesliga,0.0,7,2.0,16.0
81,9823,Bayern Munich,2009,1 Bundesliga,68.13000000000001,13,1.0,17.0
82,9823,Bayern Munich,2010,1 Bundesliga,15.3,8,3.0,15.0
83,9823,Bayern Munich,2011,1 Bundesliga,46.89,8,2.0,16.0
84,9823,Bayern Munich,2012,1 Bundesliga,63.269999999999996,10,1.0,17.0
85,9823,Bayern Munich,2013,1 Bundesliga,55.8,8,1.0,17.0
86,9823,Bayern Munich,2014,1 Bundesliga,48.06,9,1.0,17.0
87,9823,Bayern Munich,2015,1 Bundesliga,80.1,10,1.0,17.0
88,9789,Borussia Dortmund,2008,1 Bundesliga,12.379999999999999,13,6.0,12.0
89,9789,Borussia Dortmund,2009,1 Bundesliga,9.809999999999999,14,5.0,13.0
90,9789,Borussia Dortmund,2010,1 Bundesliga,5.045000000000001,12,1.0,17.0
91,9789,Borussia Dortmund,2011,1 Bundesliga,10.103000000000002,8,1.0,17.0
92,9789,Borussia Dortmund,2012,1 Bundesliga,23.985,12,2.0,16.0
93,9789,Borussia Dortmund,2013,1 Bundesliga,47.34,13,2.0,16.0
94,9789,Borussia Dortmund,2014,1 Bundesliga,58.67999999999999,9,7.0,11.0
95,9789,Borussia Dortmund,2015,1 Bundesliga,18.0,12,2.0,16.0
96,10214,CD Nacional,2008,Liga Nos,0.8299430284857572,22,4.0,12.0
97,10214,CD Nacional,2009,Liga Nos,0.8004062968515742,21,7.0,9.0
98,10214,CD Nacional,2010,Liga Nos,1.392247376311844,21,6.0,10.0
99,10214,CD Nacional,2011,Liga Nos,0.7554062968515742,22,7.0,9.0
100,10214,CD Nacional,2012,Liga Nos,0.16295802098950526,22,8.0,8.0
101,10214,CD Nacional,2013,Liga Nos,1.3351169415292354,22,5.0,11.0
102,10214,CD Nacional,2014,Liga Nos,0.0571304347826087,23,7.0,11.0
103,10214,CD Nacional,2015,Liga Nos,0.12695802098950523,25,11.0,7.0
104,10212,CS Marítimo,2008,Liga Nos,0.019230582524271848,23,9.0,7.0
105,10212,CS Marítimo,2009,Liga Nos,0.0013203883495145634,19,5.0,11.0
106,10212,CS Marítimo,2010,Liga Nos,0.036480582524271846,26,9.0,7.0
107,10212,CS Marítimo,2011,Liga Nos,0.069,21,5.0,11.0
108,10212,CS Marítimo,2012,Liga Nos,0.035160194174757284,15,10.0,6.0
109,10212,CS Marítimo,2013,Liga Nos,0.15423058252427185,13,6.0,10.0
110,10212,CS Marítimo,2014,Liga Nos,0.4485509708737864,16,9.0,9.0
111,10212,CS Marítimo,2015,Liga Nos,0.0026407766990291267,19,13.0,5.0
112,8455,Chelsea FC,2008,Premier League,27.45,25,3.0,17.0
113,8455,Chelsea FC,2009,Premier League,27.009999999999998,20,1.0,19.0
114,8455,Chelsea FC,2010,Premier League,109.35,23,2.0,18.0
115,8455,Chelsea FC,2011,Premier League,88.21889447236181,24,6.0,14.0
116,8455,Chelsea FC,2012,Premier League,100.13889447236183,30,3.0,17.0
117,8455,Chelsea FC,2013,Premier League,117.32000000000001,39,3.0,17.0
118,8455,Chelsea FC,2014,Premier League,123.93,42,1.0,19.0
119,8455,Chelsea FC,2015,Premier League,81.45000000000002,39,10.0,10.0
120,8668,Everton FC,2008,Premier League,24.015941176470584,14,5.0,15.0
121,8668,Everton FC,2009,Premier League,20.97,17,8.0,12.0
122,8668,Everton FC,2010,Premier League,1.53,13,7.0,13.0
123,8668,Everton FC,2011,Premier League,6.48,20,7.0,13.0
124,8668,Everton FC,2012,Premier League,20.692881720430105,12,6.0,14.0
125,8668,Everton FC,2013,Premier League,28.619999999999997,19,5.0,15.0
126,8668,Everton FC,2014,Premier League,37.33788172043011,19,11.0,9.0
127,8668,Everton FC,2015,Premier League,45.20788172043011,20,11.0,9.0
128,8634,FC Barcelona,2008,Primera Division,86.4,9,1.0,19.0
129,8634,FC Barcelona,2009,Primera Division,102.15,8,1.0,19.0
130,8634,FC Barcelona,2010,Primera Division,65.25,9,1.0,19.0
131,8634,FC Barcelona,2011,Primera Division,54.0,12,2.0,18.0
132,8634,FC Barcelona,2012,Primera Division,29.700000000000003,7,1.0,19.0
133,8634,FC Barcelona,2013,Primera Division,91.08,9,2.0,18.0
134,8634,FC Barcelona,2014,Primera Division,150.05,13,1.0,19.0
135,8634,FC Barcelona,2015,Primera Division,45.900000000000006,11,1.0,19.0
136,9827,FC Girondins Bordeaux,2008,Ligue 1,7.109999999999999,11,1.0,19.0
137,9827,FC Girondins Bordeaux,2009,Ligue 1,25.650000000000002,16,6.0,14.0
138,9827,FC Girondins Bordeaux,2010,Ligue 1,9.943448275862067,15,7.0,13.0
139,9827,FC Girondins Bordeaux,2011,Ligue 1,4.09344827586207,17,5.0,15.0
140,9827,FC Girondins Bordeaux,2012,Ligue 1,2.52,8,7.0,13.0
141,9827,FC Girondins Bordeaux,2013,Ligue 1,3.15,10,7.0,13.0
142,9827,FC Girondins Bordeaux,2014,Ligue 1,6.93,19,6.0,14.0
143,9827,FC Girondins Bordeaux,2015,Ligue 1,9.900000000000002,13,11.0,9.0
144,8674,FC Groningen,2008,Eredivisie,7.227,8,6.0,12.0
145,8674,FC Groningen,2009,Eredivisie,1.769,12,8.0,10.0
146,8674,FC Groningen,2010,Eredivisie,2.3850000000000002,10,5.0,13.0
147,8674,FC Groningen,2011,Eredivisie,1.769,12,14.0,4.0
148,8674,FC Groningen,2012,Eredivisie,2.553,25,7.0,11.0
149,8674,FC Groningen,2013,Eredivisie,0.585,17,7.0,11.0
150,8674,FC Groningen,2014,Eredivisie,4.182673913043478,14,10.0,8.0
151,8674,FC Groningen,2015,Eredivisie,3.335,12,7.0,11.0
152,8689,FC Lorient,2008,Ligue 1,2.7,15,10.0,10.0
153,8689,FC Lorient,2009,Ligue 1,6.300000000000001,17,7.0,13.0
154,8689,FC Lorient,2010,Ligue 1,5.4,16,11.0,9.0
155,8689,FC Lorient,2011,Ligue 1,9.990000000000002,21,17.0,3.0
156,8689,FC Lorient,2012,Ligue 1,9.0,13,8.0,12.0
157,8689,FC Lorient,2013,Ligue 1,2.7,15,9.0,11.0
158,8689,FC Lorient,2014,Ligue 1,8.641197183098592,18,16.0,4.0
159,8689,FC Lorient,2015,Ligue 1,8.93,14,15.0,5.0
160,6403,FC Paços de Ferreira,2008,Liga Nos,0.005456174649723037,23,10.0,6.0
161,6403,FC Paços de Ferreira,2009,Liga Nos,0.004837080482241773,27,9.0,7.0
162,6403,FC Paços de Ferreira,2010,Liga Nos,0.06081101335940045,19,7.0,9.0
163,6403,FC Paços de Ferreira,2011,Liga Nos,0.014557510589768653,35,10.0,6.0
164,6403,FC Paços de Ferreira,2012,Liga Nos,0.004813945910720104,26,3.0,13.0
165,6403,FC Paços de Ferreira,2013,Liga Nos,0.12088628217660476,31,16.0,0.0
166,6403,FC Paços de Ferreira,2014,Liga Nos,0.0024301075268817205,27,8.0,10.0
167,6403,FC Paços de Ferreira,2015,Liga Nos,0.001787878787878788,23,7.0,11.0
168,9773,FC Porto,2008,Liga Nos,30.74041714285714,45,1.0,15.0
169,9773,FC Porto,2009,Liga Nos,28.560000000000002,56,3.0,13.0
170,9773,FC Porto,2010,Liga Nos,33.31541714285714,44,1.0,15.0
171,9773,FC Porto,2011,Liga Nos,40.45,35,1.0,15.0
172,9773,FC Porto,2012,Liga Nos,11.76,24,1.0,15.0
173,9773,FC Porto,2013,Liga Nos,31.23,19,3.0,13.0
174,9773,FC Porto,2014,Liga Nos,48.34,28,2.0,16.0
175,9773,FC Porto,2015,Liga Nos,38.97,34,3.0,15.0
176,10189,FC Schalke 04,2008,1 Bundesliga,14.175,8,8.0,10.0
177,10189,FC Schalke 04,2009,1 Bundesliga,7.740000000000002,23,2.0,16.0
178,10189,FC Schalke 04,2010,1 Bundesliga,32.49,22,14.0,4.0
179,10189,FC Schalke 04,2011,1 Bundesliga,6.57,13,3.0,15.0
180,10189,FC Schalke 04,2012,1 Bundesliga,5.85,18,4.0,14.0
181,10189,FC Schalke 04,2013,1 Bundesliga,23.45,13,3.0,15.0
182,10189,FC Schalke 04,2014,1 Bundesliga,3.96,14,6.0,12.0
183,10189,FC Schalke 04,2015,1 Bundesliga,33.39,16,5.0,13.0
184,9941,FC Toulouse,2008,Ligue 1,8.82,18,4.0,16.0
185,9941,FC Toulouse,2009,Ligue 1,6.16811320754717,12,14.0,6.0
186,9941,FC Toulouse,2010,Ligue 1,0.0,9,8.0,12.0
187,9941,FC Toulouse,2011,Ligue 1,12.0,11,8.0,12.0
188,9941,FC Toulouse,2012,Ligue 1,1.2183823529411764,10,10.0,10.0
189,9941,FC Toulouse,2013,Ligue 1,12.200000000000001,15,10.0,10.0
190,9941,FC Toulouse,2014,Ligue 1,3.4681132075471695,11,17.0,3.0
191,9941,FC Toulouse,2015,Ligue 1,2.6100000000000003,10,17.0,3.0
192,8611,FC Twente Enschede,2008,Eredivisie,7.289999999999999,11,2.0,16.0
193,8611,FC Twente Enschede,2009,Eredivisie,8.65448275862069,14,1.0,17.0
194,8611,FC Twente Enschede,2010,Eredivisie,12.649411764705881,22,2.0,16.0
195,8611,FC Twente Enschede,2011,Eredivisie,8.239411764705883,13,6.0,12.0
196,8611,FC Twente Enschede,2012,Eredivisie,16.57448275862069,13,6.0,12.0
197,8611,FC Twente Enschede,2013,Eredivisie,5.625000000000001,21,3.0,15.0
198,8611,FC Twente Enschede,2014,Eredivisie,5.04,17,8.0,10.0
199,8611,FC Twente Enschede,2015,Eredivisie,0.0,19,12.0,6.0
200,9908,FC Utrecht,2008,Eredivisie,1.798150684931507,12,9.0,9.0
201,9908,FC Utrecht,2009,Eredivisie,5.220000000000001,11,7.0,11.0
202,9908,FC Utrecht,2010,Eredivisie,1.7067260273972602,11,9.0,9.0
203,9908,FC Utrecht,2011,Eredivisie,7.423150684931508,19,11.0,7.0
204,9908,FC Utrecht,2012,Eredivisie,1.395,10,5.0,13.0
205,9908,FC Utrecht,2013,Eredivisie,0.247,13,10.0,8.0
206,9908,FC Utrecht,2014,Eredivisie,0.6055753424657535,22,11.0,7.0
207,9908,FC Utrecht,2015,Eredivisie,1.1019999999999999,17,5.0,13.0
208,10235,Feyenoord Rotterdam,2008,Eredivisie,5.1075,22,7.0,11.0
209,10235,Feyenoord Rotterdam,2009,Eredivisie,4.859999999999999,13,4.0,14.0
210,10235,Feyenoord Rotterdam,2010,Eredivisie,0.26249999999999996,21,10.0,8.0
211,10235,Feyenoord Rotterdam,2011,Eredivisie,0.0,12,2.0,16.0
212,10235,Feyenoord Rotterdam,2012,Eredivisie,2.496666666666666,19,3.0,15.0
213,10235,Feyenoord Rotterdam,2013,Eredivisie,2.7,10,2.0,16.0
214,10235,Feyenoord Rotterdam,2014,Eredivisie,7.83,18,4.0,14.0
215,10235,Feyenoord Rotterdam,2015,Eredivisie,9.450000000000001,20,3.0,15.0
216,10233,Genoa CFC,2008,Serie A,53.492671862907684,41,4.0,16.0
217,10233,Genoa CFC,2009,Serie A,71.85485074626865,61,9.0,11.0
218,10233,Genoa CFC,2010,Serie A,68.64067927031509,64,10.0,10.0
219,10233,Genoa CFC,2011,Serie A,49.30810763416477,68,16.0,4.0
220,10233,Genoa CFC,2012,Serie A,29.06065246556334,73,17.0,3.0
221,10233,Genoa CFC,2013,Serie A,22.907904563351043,67,13.0,7.0
222,10233,Genoa CFC,2014,Serie A,10.095544831398563,57,6.0,14.0
223,10233,Genoa CFC,2015,Serie A,12.751985185185184,53,10.0,10.0
224,9790,Hamburger SV,2008,1 Bundesliga,31.009999999999998,15,5.0,13.0
225,9790,Hamburger SV,2009,1 Bundesliga,27.405,18,7.0,11.0
226,9790,Hamburger SV,2010,1 Bundesliga,13.68,11,8.0,10.0
227,9790,Hamburger SV,2011,1 Bundesliga,12.51,21,15.0,3.0
228,9790,Hamburger SV,2012,1 Bundesliga,24.299999999999997,11,7.0,11.0
229,9790,Hamburger SV,2013,1 Bundesliga,2.115,12,16.0,2.0
230,9790,Hamburger SV,2014,1 Bundesliga,32.225,20,16.0,2.0
231,9790,Hamburger SV,2015,1 Bundesliga,19.665,19,10.0,8.0
232,9791,Heracles Almelo,2008,Eredivisie,0.5686693548387096,22,15.0,3.0
233,9791,Heracles Almelo,2009,Eredivisie,0.0525,11,6.0,12.0
234,9791,Heracles Almelo,2010,Eredivisie,0.07875,11,8.0,10.0
235,9791,Heracles Almelo,2011,Eredivisie,0.27,7,12.0,6.0
236,9791,Heracles Almelo,2012,Eredivisie,0.32270967741935486,11,12.0,6.0
237,9791,Heracles Almelo,2013,Eredivisie,0.35720967741935483,15,14.0,4.0
238,9791,Heracles Almelo,2014,Eredivisie,0.07875,16,14.0,4.0
239,9791,Heracles Almelo,2015,Eredivisie,0.23249999999999998,10,6.0,12.0
240,8636,Inter Milan,2008,Serie A,59.44484014869889,34,1.0,19.0
